,timestamp,open,high,low,close,volume
62,2020-01-22,248.6,251.95,245.4,245.85,3400424
63,2020-01-21,247.9,248.2,246.0,247.1,1507942
64,2020-01-20,250.8,250.8,247.2,248.0,1908583
65,2020-01-17,252.0,253.9,249.65,251.1,4140818
66,2020-01-16,248.0,252.6,247.0,250.45,8811836
67,2020-01-15,254.0,256.0,246.6,248.25,10140451
68,2020-01-14,256.85,258.35,254.55,257.2,7296777
69,2020-01-13,254.0,257.9,252.85,254.8,6963599
70,2020-01-10,253.95,255.2,251.0,251.75,2056577
71,2020-01-09,254.25,256.5,252.65,253.65,2495023
72,2020-01-08,254.0,256.15,252.55,254.8,2794410
73,2020-01-07,253.25,256.35,250.2,255.2,4402787
74,2020-01-06,251.0,254.45,250.15,252.15,4566695
75,2020-01-03,249.5,252.7,247.35,251.1,3381404
76,2020-01-02,246.6,249.9,246.35,248.3,1443966
77,2020-01-01,246.5,248.65,246.2,247.7,1413866
78,2019-12-31,247.7,248.6,245.3,245.8,2164914
79,2019-12-30,248.45,249.55,246.6,248.95,2166807
80,2019-12-27,250.0,250.75,246.35,247.55,2511120
81,2019-12-26,252.0,252.4,249.55,250.3,2026434
82,2019-12-24,253.0,253.95,251.1,252.25,1544480
83,2019-12-23,252.8,254.7,251.6,253.85,1850652
84,2019-12-20,248.0,253.8,247.3,251.8,5211626
85,2019-12-19,248.6,250.65,247.65,249.2,2484211
86,2019-12-18,245.85,249.9,245.5,248.3,5299107
87,2019-12-17,244.25,245.95,243.55,244.75,2211379
88,2019-12-16,243.9,246.4,242.6,243.15,2842577
89,2019-12-13,242.0,244.85,240.0,243.85,4311833
90,2019-12-12,240.35,241.25,238.7,239.45,1405948
91,2019-12-11,237.65,240.8,236.35,240.05,2387660
92,2019-12-10,240.4,240.4,237.1,238.15,2205613
93,2019-12-09,240.8,241.65,238.6,240.4,1207295
94,2019-12-06,243.7,244.5,240.35,241.0,1367558
95,2019-12-05,242.7,244.9,241.1,243.7,2613145
96,2019-12-04,236.6,242.75,236.5,242.2,3335966
97,2019-12-03,238.5,238.5,235.4,236.8,2865185
98,2019-12-02,238.25,239.7,235.55,238.6,3629960
99,2019-11-29,240.05,241.2,236.85,237.7,2666961
